Stage Name,Full Name,Korean Name,Date of Birth,Country,Group,Gender,,
Hyunsik,Won Hyunsik,원현식,12/09/1997,South Korea,XODIAC,M,,
Hyunsoo,Kim Hyunsoo,김현수,12/04/1995,South Korea,D1CE,M,,
Hyunsoo,Jang Hyunsoo,장현수,16/09/2003,South Korea,TNX,M,,
Hyunsuk,Choi Hyunsuk,최현석,21/04/1999,South Korea,Treasure,M,,
Hyunsuk,Yoon Hyunsuk,윤현석,08/09/2001,South Korea,CIX,M,,
Hyunuk,Han Hyunuk,한현욱,26/09/1994,South Korea,IN2IT,M,,
Hyunwoo,Kim Hyunwoo,김현우,21/01/2001,South Korea,BXB,M,,
Hyunwoo,Baek Hyunwoo,박현오,19/03/1999,South Korea,D-CRUNCH,M,,
Hyunwoo,Choi Hyunwoo,최현우,04/12/2004,South Korea,xikers,M,,
Hyunwook,Ji Hyunwook,지현욱,01/07/1998,South Korea,D-CRUNCH,M,,
Hyunwoong,Kim Hyunwoong,김현웅,08/02/1998,South Korea,14U,M,,
Hyunyoung,Cho Hyunyoung,조현영,11/08/1991,South Korea,Rainbow,F,,
I,Cha Yoonji,차윤지,02/12/1996,South Korea,,F,,
I.L,Kim Jiwon,김지원,01/07/1997,South Korea,IRRIS,F,,
I.M,Lim Changkyun,임창균,26/01/1996,South Korea,MONSTA X,M,,
I.N,Yang Jeongin,양정인,08/02/2001,South Korea,Stray Kids,M,,
Iaan,Yoo Dongju,유동주,22/03/2002,South Korea,XUM,F,,
Ian,Ro Sungchul,노성철,11/12/2003,South Korea,LUN8,M,,
Ida,Ko Chaeyoung,고채영,19/05/2000,South Korea,MAJORS,F,,
Ilhoon,Jung Ilhoon,정일훈,04/10/1994,South Korea,BtoB,M,,
Ina,Jeong Yina,정이나,08/06/2004,South Korea,BADVILLAIN,F,,
Inho,Hwang Inho,황인호,21/06/1993,South Korea,IN2IT,M,,
Inhong,Lee Inhong,이인홍,12/11/2004,South Korea,WHIB,M,,
Inpyo,Lee Inpyo,이인표,14/08/1995,South Korea,IN2IT,M,,
Inseong,Kim Inseong,김인성,12/07/1993,South Korea,SF9,M,,
Inseong,Jeong Inseong,정인성,01/07/1994,South Korea,KNK,M,,
Insoo,Kang Insoo,강인수,10/03/1988,South Korea,MYNAME,M,,
Intak,Hwang Intak,황인탁,31/08/2003,South Korea,P1Harmony,M,,
Ireh,Cho Seoyoung,조서영,30/04/2002,South Korea,Purple Kiss,F,,
Irene,Bae Juhyun,배주현,29/03/1991,South Korea,Red Velvet,F,,
Iroha,Hokazuno Iroha,호카조노 이로하,04/02/2008,Japan,ILLIT,F,,
Isa,Lee Chaeyoung,이채영,23/01/2002,South Korea,STAYC,F,,
Isaac,Voo Isaak,부 아이젝,12/12/1994,Malaysia,IN2IT,M,,
Isol,,이솔,01/05/1997,South Korea,Lusty,F,,
IU,Lee Jieun,이지은,16/05/1993,South Korea,,F,,
Ivan,Park Yooseong,박유성,12/10/2001,South Korea,Kingdom,M,,
J,Lee Yeji,이예지,12/02/1998,South Korea,ANS,F,,
J,Jang Yeeun,장예은,09/12/2004,South Korea,STAYC,F,,
J-Hoon,Lim Junghoon,임정훈,15/07/1990,South Korea,B.I.G,M,,
J-Hope,Jung Hoseok,정호석,18/02/1994,South Korea,BTS,M,,
J-Min,Jeon Minwook,전민욱,16/10/1999,South Korea,BAE173,M,,
J-Us,Lee Seungjoon,이승준,13/01/1995,South Korea,ONF,M,,
J.Min,Shin Minjung,신민정,20/11/1994,South Korea,Tiny-G,F,,
J.seph,Kim Taehyung,김태형,21/06/1992,South Korea,KARD,M,,
J.YOU,Kim Jaeyu,김제유,02/11/2000,South Korea,TOO,M,,
Jackie,Kang Chaeyeon,강채연,17/11/2001,USA,ICHILLIN',F,,
Jackson,Jackson Wang,잭슨 왕,28/03/1994,Hong Kong,GOT7,M,,
Jacob,Bae Joonyoung,배준영,30/05/1997,South Korea,The Boyz,M,,
Jacob,Zhang Peng,장펑,07/09/1996,China,VAV,M,,
Jae,Park Jaehyung,박제형,15/09/1992,South Korea,DAY6,M,,
Jaebin,Deung Bin,등빈,13/02/1997,China,VARSITY,M,,
Jaechan,Park Jaechan,박재찬,06/12/2001,South Korea,Dongkiz,M,,
Jaeha,Lee Jaehyun,김재현,01/07/2004,South Korea,WHIB,M,,
Jaehan,Kim Jaehan,김재한,01/07/1995,South Korea,OMEGA X,M,,
Jaehee,Lee Jaehee,이재희,18/03/2004,South Korea,Weeekly,F,,
Jaeho,Kim Jaeho,김재호,17/09/1992,South Korea,HISTORY,M,,
Jaehwan,Kim Jaehwan,김재환,27/05/1996,South Korea,Wanna One,M,,
Jaehyo,Ahn Jaehyo,안재효,23/12/1990,South Korea,Block B,M,,
Jaehyuk,Yoon Jaehyuk,윤재혁,23/07/2001,South Korea,Treasure,M,,
Jaehyun,Jung Yoonoh,정윤오,14/02/1997,South Korea,NCT,M,,
Jaehyun,Kim Jaehyun,김재현,15/07/1994,South Korea,N.Flying,M,,
Jaehyun,Bong Jaehyun,봉재현,04/01/1999,South Korea,Golden Child,M,,
Jaehyun,Myung Jaehyun,명재현,04/12/2003,South Korea,BOYNEXTDOOR,M,,
Jaejin,Lee Jaejin,이재진,17/12/1991,South Korea,FTISLAND,M,,
Jaejoong,Kim Jaejoong,김재중,26/01/1986,South Korea,JYJ,M,,
Jaekyung,Kim Jaekyung,김재경,24/12/1988,South Korea,Rainbow,F,,
Jaemin,Na Jaemin,나재민,13/08/2000,South Korea,NCT,M,,
Jaemin,Shin Jaemin,신재민,08/06/1996,South Korea,XEED,M,,
Jaeseok,Park Jaeseok,박재석,20/11/1995,South Korea,,M,,
Jaeun,Ha Jaeun,한재운,28/09/1999,South Korea,ARGON,M,,
Jaewon,Shin Jaewon,신재원,02/03/2004,South Korea,,M,,
Jaeyoon,Lee Jaeyoon,이재윤,09/08/1994,South Korea,SF9,M,,
Jaeyun,Lee Jaeyun,이재윤,16/08/2000,South Korea,TOO,M,,
Jaeyun,Moon Jaeyun,문재윤,02/07/2002,New Zealand,8TURN,M,,
Jahan,Im Jihun,임지훈,01/08/2002,South Korea,Kingdom,M,,
Jake,Shim Jaeyoon,심재윤,15/11/2002,South Korea,ENHYPEN,M,,
Jamie,Park Jimin,박지민,05/07/1997,South Korea,15&,F,,
Jane,Sung Jiyeon,성지연,20/12/1997,South Korea,MOMOLAND,F,,
Jangjun,Lee Jangjun,이장준,03/03/1997,South Korea,Golden Child,M,,
Jay,Kim Jinhwan,김진환,07/02/1994,South Korea,iKON,M,,
Jay,Park Jongsung,박종성,20/04/2002,South Korea,ENHYPEN,M,,
Jay Chang,Jay Steven Kapossy,제이 스티븐 커포시,08/03/2001,USA,ONE PACT,M,,
Jayder,Kim Junbmin,김준민,31/12/2002,South Korea,WHIB,M,,
JB,Im Jaebum,임재범,06/01/1994,South Korea,GOT7,M,,
Jea,Kim Hyojin,김효진,18/09/1981,South Korea,Brown Eyed Girls,F,,
Jeewon,Kim Jiwon,김지원,01/04/1999,South Korea,Cignature,F,,
Jeff,Lee Jaeho,이재호,21/04/2005,South Korea,EPEX,M,,
Jehyun,Moon Jehyun,문제현,20/04/1999,South Korea,OMEGA X,M,,
Jei,Kim Jinhee,김진희,05/09/1989,South Korea,Fiestar,F,,
Jen,Kim Yehyeon,김예현,27/03/1997,South Korea,UNVS,M,,
Jenissi,Kim Taeyang,김태양,02/08/1991,South Korea,,M,,
Jenna,Kim Minji,김민지,06/10/2006,South Korea,,F,,
Jennie,Kim Jennie,김제니,16/01/1996,South Korea,BLACKPINK,F,,
Jenny,Lee Soyul,이소율,04/09/1996,South Korea,,F,,
Jeno,Lee Jeno,이제노,23/04/2000,South Korea,NCT,M,,
Jeon Woong,Jeon Woong,전웅,15/10/1997,South Korea,AB6IX,M,,
Jeongeun,Park Jeongeun,박정근,17/04/2003,South Korea,HAWW,M,,
Jeonggyu,Lim Jeonggyu,임정규,05/11/1997,South Korea,7 O'clock,M,,
Jeonghan,Yoon Jeonghan,윤정한,04/10/1995,South Korea,Seventeen,M,,
Jeonghee,Go Jeonghee,고정희,11/03/2000,South Korea,Favorite,F,,
Jeonghyeon,Lee Jeonghyeon,이정현,11/09/2002,South Korea,EVNNE,M,,
Jeongkyun,Jeong Jeongkyun,정정균,27/11/1987,South Korea,WE:A,M,,
Jeongmin,Lee Jeongmin,이정민,01/02/1994,South Korea,Boyfriend,M,,
Jeongmin,Woo Jeongmin,우정민,31/05/2002,South Korea,WEUS,M,,
Jeongseung,Park Jeongseung,박정승,20/05/2002,South Korea,D-CRUNCH,M,,
Jeonguk,Kim Jeonguk,김정욱,20/03/1993,South Korea,24K,M,,
Jeongwoo,Park Jeongwoo,박정우,28/09/2004,South Korea,Treasure,M,,
Jeongyeon,Yoo Jeongyeon,유정연,01/11/1996,South Korea,Twice,F,,
Jeongyoon,Woo Jeongyoon,우정윤,11/04/2003,South Korea,WEUS,M,,
Jeonyul,Jeon Yuri,전유리,20/03/1994,South Korea,Stellar,F,,
Jerrry,Ahn Sohyun,안소현,27/08/1992,South Korea,Tahiti,F,,
Jessica,Jessica Jung,제시카 정,18/04/1989,South Korea,,F,,
Jewon,Woo Jewon,우제원,28/11/1998,South Korea,NINE.i,M,,
Ji Eunho,Lee Sangmin,이상민,21/05/2005,South Korea,LUN8,M,,
Ji Hansol,Ji Hansol,지한솔,21/11/1994,South Korea,Newkidd,M,,
Jia,Meng Jia,멍지아,03/02/1989,China,miss A,F,,
Jia,Guo Jiajia,궈 지아지아,30/07/2005,China,TRI.BE,F,,
Jia,Yoon Jia,윤지아,16/01/2004,South Korea,mimiirose,F,,
Jiae,Yoo Jiae,유지애,21/05/1993,South Korea,Lovelyz,F,,
Jiae,Kim Jiae,김지애,31/10/1995,South Korea,Wassup,F,,
Jiahn,Yoo Jiahn,유지안,01/04/1992,South Korea,IN2IT,M,,
Jian,Kwon Jieun,권지은,14/03/2001,South Korea,LUNARSOLAR,F,,
Jian,Kim Jian,김지안,04/11/2006,South Korea,,F,,
Jiana,Noh Jihyeon,노지현,02/02/2006,South Korea,YOUNG POSSE,F,,
Jibeom,Kim Jibeom,김지범,03/02/1999,South Korea,Golden Child,M,,
Jieun,Song Jieun,송지은,05/05/1990,South Korea,SECRET,F,,
Jieun,Park Jieun,박지은,04/09/1997,South Korea,,F,,
Jieun,Choi Jieun,최지은,03/03/2001,South Korea,Bling Bling,F,,
Jieun,Han Jieun,한지은,05/11/2009,South Korea,YOUNG POSSE,F,,
Jihan,Han Jihyo,한지효,12/07/2004,South Korea,Weeekly,F,,
Jiheon,Baek Jiheon,백지헌,17/04/2003,South Korea,fromis_9,F,,
Jiho,Kim Jiho,김지호,04/04/1997,South Korea,,F,,
Jiho,Jang Jiho,장지호,10/08/2004,South Korea,NINE.i,M,,
Jiho,Choi Jiho,최지호,10/06/2004,South Korea,AMPERS&ONE,M,,
Jihoo,Lim Soojung,임수정,05/08/1998,South Korea,IZ,M,,
Jihoo,Park Jihoo,박지후,14/07/2006,South Korea,EVNNE,M,,
Jihoon,Park Jihoon,박지훈,29/05/1999,South Korea,Wanna One,M,,
Jihoon,Park Jihoon,박지훈,14/03/2000,South Korea,Treasure,M,,
Jihoon,Han Jihoon,한지훈,28/03/2006,South Korea,TWS,M,,
Jihun,Kim Jihun,김지훈,09/01/2000,South Korea,BXB,M,,
Jihun,Kim Jihun,김지훈,20/02/1995,South Korea,KNK,M,,
Jihyo,Park Jisoo,박지수,01/02/1997,South Korea,Twice,F,,
Jihyo,Lee Jihyo,이지효,22/04/2001,South Korea,PRECIOUS,F,,
Jihyun,Nam Jihyun,남지현,09/01/1990,South Korea,4minute,F,,
Jimin,Shin Jimin,신지민,08/01/1991,South Korea,AOA BLACK,F,,
Jimin,Park Jimin,박지민,13/10/1995,South Korea,BTS,M,,
Jimin,Won Jimin,원지민,25/11/2007,South Korea,CLASS:y,F,,
Jimin,Kim Jimin,김지민,01/05/2002,South Korea,HAWW,M,,
JIN,Park Myungeun,박명은,12/06/1996,South Korea,Lovelyz,F,,
Jin,Kim Seokjin,김석진,04/12/1992,South Korea,BTS,M,,
Jin Jin,Park Jinwoo,박진우,15/03/1996,South Korea,ASTRO,M,,
Jinbeom,Park Jinbeom,박진범,22/04/2002,South Korea,WHIB,M,,
JinE,Shin Hyejin,신혜진,22/01/1995,South Korea,,F,,
Jingyu,Lee Jingyu,이진규,22/04/1998,South Korea,Astin,M,,
Jinha,Kim Jinha,김진하,21/11/2003,South Korea,TRI.BE,F,,
Jinho,Jo Jinho,조진호,17/04/1992,South Korea,PENTAGON,M,,
Jinhong,Kim Jinhong,김진홍,02/01/1998,South Korea,24K,M,,
Jinhoo,Kim Jinwook,김진욱,02/08/1995,South Korea,,M,,
Jinhui,,진희,21/11/1996,South Korea,Lusty,F,,
Jinhwa,Choi Jinhwa,최진화,15/01/2002,South Korea,BLITZERS,M,,
Jinju,Park Jinju,박진주,28/04/1990,South Korea,,F,,
Jinkwon,Kim Jinkwon,김진권,31/01/2001,South Korea,Newkidd,M,,
JJ,Jun Jihyeok,전진혁,11/12/1998,South Korea,DUSTIN,M,,
JK,Kim Jikang,김지강,17/03/1998,South Korea,Girlkind,F,,
JM,Chu Jimin,추지민,11/10/2001,South Korea,JUST B,M,,
Jo,,,조,04/02/2008,South Korea,DXMON,M,
Johnny,John Seo,존 서,09/02/1995,USA,NCT 127,M,,
Johyun,Shin Jiwon,신지원,14/04/1996,South Korea,Berry Good,F,,
Jongho,Choi Jongho,최종호,12/10/2000,South Korea,ATEEZ,M,,
Jonghoon,Choi Jonghoon,최종훈,07/03/1990,South Korea,FTISLAND,M,,
Jonghwan,Jo Jonghwan,조종환,23/11/1992,South Korea,FAVE1,M,,
Jonghyeong,Kim Jonghyeong,김종형,13/04/2002,South Korea,Dongkiz,M,,
Jonghyun,Lee Jonghyun,이종현,15/05/1990,South Korea,CNBLUE,M,,
Jonghyun†,Kim Jonghyun,김종현,08/04/1990,South Korea,,M,,
Jongseob,Kim Jongseob,김종섭,19/11/2005,South Korea,P1Harmony,M,,
Jongup,Moon Jongup,문종업,06/02/1995,South Korea,B.A.P,M,,
Jongwoo,Yoon Jongwoo,윤종우,12/06/2000,South Korea,ONE PACT,M,,
JOO,Jung Minjoo,정민주,11/10/1990,South Korea,,F,,
Joo E,Lee Joowon,이주원,18/08/1999,South Korea,MOMOLAND,F,,
JooA,Lee Juhyun,이주현,04/03/2002,South Korea,Hi-L,F,,
Jooan,Im Jimyoung,임지명,04/10/1996,South Korea,We In The Zone,M,,
Joobin,Joo Bin,주빈,16/01/2009,South Korea,tripleS,F,,
Joochan,Hong Joochan,홍주찬,31/07/1999,South Korea,Golden Child,M,,
Jooeun,Kim Jooeun,김주은,03/12/2008,South Korea,Hearts2Hearts,F,,
Jooheon,Lee Jooheon,이주헌,06/10/1994,South Korea,MONSTA X,M,,
Joohyoung,Kim Joohyoung,김주형,15/03/2003,South Korea,NINE.i,M,,
Joonie,Park Junhee,박준희,24/05/2002,USA,ICHILLIN',F,,
Jooyeon,Lee Jooyeon,이주연,19/03/1987,South Korea,,F,,
Jooyeon,Lee Jooyeon,이주연,12/09/2002,South Korea,Xdinary Heroes,M,,
Joshua,Hong Jisoo,홍지수,30/12/1995,USA,Seventeen,M,,
Joy,Park Sooyoung,박수영,03/09/1996,South Korea,Red Velvet,F,,
JR,Kim Jonghyun,김종현,08/06/1995,South Korea,NU'EST,M,,
Ju-ne,Koo Junhoe,구준회,31/03/1997,South Korea,iKON,M,,
Judy,Kim Dahye,김다혜,16/05/1995,South Korea,,F,,
Jueun,Lee Jooeun,이주은,07/07/1995,South Korea,DIA,F,,
Jueun,Jo Jueun,조주은,27/01/2001,South Korea,ARIAZ,F,,
Juhaknyeon,Ju Haknyeon,주학년,09/03/1999,South Korea,The Boyz,M,,
Juhan,Hong Seunghyun,홍승현,21/06/2001,South Korea,BLITZERS,M,,
Juho,Yang Zuho,양주호,04/03/2004,South Korea,HAWW,M,,
Juhyeon,Lee Juhyeon,이주현,08/04/2004,South Korea,LIGHTSUM,F,,
Juhyun,Cha Juhyun,차주현,01/04/2000,South Korea,Bling Bling,F,,
Juju,Park Juyoung,박주영,03/01/1996,South Korea,Gate9,F,,
Jukang,Lee Hyowon,이효원,22/11/2002,South Korea,JWiiver,M,,
Julie,Julie Han,쥴리한,29/03/2000,South Korea,KISS OF LIFE,F,,
Jun,Weng Junhui,원쥔훼이,10/06/1996,China,Seventeen,M,,
Jun,Lee Junyoung,이준영,22/01/1997,South Korea,U-KISS,M,,
Jun,Park Junhee,박준희,02/06/1994,South Korea,A.C.E,M,,
Jun H.,Im Joonhyun,임준현,28/08/1991,South Korea,UNVS,M,,
Jun Han,Han Hyeongjun,한형준,18/08/2002,South Korea,Xdinary Heroes,M,,
Jun Jin,Park Choongjae,박충재,19/08/1980,South Korea,Shinhwa,M,,
Jun. K,Kim Minjun,김민준,15/01/1988,South Korea,2PM,M,,
June,Lee Junyoung,이준영,16/06/2003,South Korea,BXB,M,,
Jungah,Kim Jungah,김정아,02/08/1983,South Korea,,F,,
Jungbin,Lim Jungbin,임정빈,22/07/2003,South Korea,POW,M,,
Junghoon,Lee Junghoon,이정훈,04/07/2000,South Korea,1TEAM,M,,
Junghoon,Han Jeonghoon,한정훈,14/02/2000,South Korea,OMEGA X,M,,
Junghoon,Kim Junghoon,김정훈,05/07/2005,South Korea,xikers,M,,
Junghun,Jang Junghun,장정훈,27/02/1999,South Korea,Astin,M,,
Junghwa,Park Junghwa,박정화,08/05/1995,South Korea,EXID,F,,
Junghwan,So Junghwan,소정환,18/02/2005,South Korea,Treasure,M,,
Junghyun,Mun Junghyun,문정현,31/03/2005,South Korea,EVNNE,M,,
Jungkook,Jeon Jungkook,전정국,01/09/1997,South Korea,BTS,M,,
Jungmo,Koo Jungmo,구정모,05/02/2000,South Korea,CRAVITY,M,,
Jungshin,Lee Jungshin,이정신,15/09/1991,South Korea,CNBLUE,M,,
Jungsu,Kim Jungsu,김정수,26/06/2001,South Korea,Xdinary Heroes,M,,
Jungwon,Yang Jungwon,양정원,09/02/2004,South Korea,ENHYPEN,M,,
Jungwoo,Kim Jungwoo,김정우,19/02/1998,South Korea,NCT,M,,
Jungwoo,Uhm Jungwoo,엄정우,02/04/1999,South Korea,BVNDIT,F,,
Junho,Lee Junho,이준호,25/01/1990,South Korea,2PM,M,,
Junho,Cha Junho,차준호,09/07/2002,South Korea,DRIPPIN,M,,
Junhyeok,Kim Junhyeok,임준혁,17/07/1993,South Korea,,M,,
Junhyeok,Cheon Junhyeok,천준혁,20/09/2004,South Korea,TNX,M,,
Junhyoung,Oh Junhyoung,오준형,14/04/2001,South Korea,CMDM,M,,
Junhyuk,Choi Junhyuk,최준혁,21/04/1992,South Korea,HOTSHOT,M,,
Junhyuk,Lee Junhyuk,이준혁,16/05/2000,South Korea,Mirae,M,,
Junhyung,Yong Junyung,용준형,19/12/1989,South Korea,Highlight,M,,
Junhyung,Son Junhyung,손준형,21/10/2000,South Korea,Ghost9,M,,
Junji,Kim Junhyung,김준형,06/04/1998,South Korea,OnlyOneOf,M,,
Junkyu,Kim Junkyu,김준규,09/09/2000,South Korea,Treasure,M,,
Junmin,Ryu Junmin,류준민,05/04/2003,South Korea,ATBO,M,,
Junmin,Park Junmin,박준민,24/05/2003,South Korea,xikers,M,,
JunQ,Kang Junkyu,강준규,09/08/1993,South Korea,MYNAME,M,,
Junseo,Kim Junseo,김준서,20/11/2001,South Korea,WEi,M,,
Junseo,Hwang Junseo,황준서,16/01/2001,South Korea,DKB,M,,
Junseo,Park Junseo,박준서,28/12/2001,South Korea,BAE173,M,,
Junseok,Oh Junseok,오준석,03/03/2003,South Korea,ATBO,M,,
Junseong,Choi Junseong,최준성,29/09/2002,South Korea,Ghost9,M,,
Juntae,Kim Juntae,김준태,04/09/1995,South Korea,MY.st,M,,
Junwoo,Sim Junwoo,심준우,21/09/2003,South Korea,LUN8,M,,
Junwook,Kim Junwook,김준욱,10/01/2002,South Korea,TheEastLight,M,,
Junyoung,Lee Junyoung,이준영,23/09/2000,South Korea,IZ,M,,
Juri,Takahashi Juri,타카하시 쥬리,03/10/1997,Japan,Rocket Punch,F,,
Juyeon,Lee Juyeon,이주연,16/01/1998,South Korea,The Boyz,M,,
Juyeon,Lee Juyeon,이주연,06/11/2001,South Korea,Saturday,F,,
K-Soul,Liu Zekai,류저카이,19/10/2000,China,FANTASY BOYS,M,,
K.Me,Na Miri,나미리,10/04/1992,South Korea,BADKIZ,F,,
Kady,Gu Dokyoung,구도경,07/04/1995,South Korea,Gate9,F,,
Kaedan,Kaedan Keonwoo Nam,케이단 건우 남,24/03/2009,South Korea,FANTASY BOYS,M,,
Kaede,Yamada Kaede,야마다 카에데,20/12/2005,Japan,tripleS,F,,
Kaeun,Lee Kaeun,이가은,20/08/1994,South Korea,After School,F,,
Kahi,Park Jiyoung,박지영,25/12/1980,South Korea,,F,,
Kai,Kim Jongin,김종인,14/01/1994,South Korea,EXO,M,,
Kain,Bang Junho,방준호,25/03/1997,South Korea,ARGON,M,,
Kairi,Imai Kairi,이마이 카이리,24/02/2003,Japan,T1419,M,,
Kamden,Kamden Winston Na,캠든 윈스턴 나,09/06/2001,USA,AMPERS&ONE,M,,
Kanghyun,Kang Hyungu,강현구,24/11/1998,South Korea,Onewe,M,,
Kangin,Kim Youngwoon,김영운,17/01/1985,South Korea,,M,,
Kangmin,Noh Kangmin,노강민,05/09/1999,South Korea,Romeo,M,,
Kangmin,Yoo Kangmin,유강민,25/01/2003,South Korea,Verivery,M,,
Kangsung,Lee Kangsung,이강성,08/08/2002,South Korea,Ghost9,M,,
Karin,Min Karin,민가린,05/01/2002,South Korea,ALICE,F,,
Karin,Baek Yerin,백예린,23/04/2000,South Korea,CRAXY,F,,
Karina,Yoo Jimin,유지민,11/04/2000,South Korea,aespa,F,,
Kazuha,Nakamura Kazuha,나카무라 카즈하,09/08/2003,Japan,LE SSERAFIM,F,,
KB,Shin Kyubin,신규빈,23/04/1994,South Korea,OnlyOneOf,M,,
Keeho,Yoon Kiho,윤기호,27/09/2001,Canada,P1Harmony,M,,
Keena,Song Jakyung,송자경,09/07/2002,South Korea,FIFTY FIFTY,F,,
Kei,Kim Jiyeon,김지연,20/03/1995,South Korea,Lovelyz,F,,
Keina,Lee Yoona,이유나,12/02/1999,South Korea,H.U.B,F,,
Keita,Terazono Keita,테라조노 케이타,04/07/2001,Japan,Ciipher,M,,
Kelly,Lin Kelly,린 켈리,16/01/2002,Taiwan,TRI.BE,F,,
Kelly,Ha Seoyeon,하서연,16/06/2006,South Korea,BADVILLAIN,F,,
Ken,Lee Jaehwan,이재환,06/04/1992,South Korea,VIXX,M,,
Kenta,Takada Kenta,타카다 켄타,10/01/1995,Japan,JBJ,M,,
Keon,Kim Keon,김건,16/02/2001,South Korea,WEUS,M,,
Keonhee,Lee Keonhee,김건희,27/06/1998,South Korea,Oneus,M,,
Keonwoo,Kim Keonwoo,김건우,17/12/1996,South Korea,MY.st,M,,
Keum,Keum Donghyun,금동현,14/05/2003,South Korea,EPEX,M,,
Keumjo,Lee Keumjo,이금조,17/12/1992,South Korea,9Muses,F,,
Kevin,Christopher Woo,크리스토퍼 우,25/11/1991,USA,U-KISS,M,,
Kevin,Kevin Jiyeop Kim,케빈 지엽 킴,23/02/1988,South Korea,ZE:A,M,,
Kevin,Moon Hyungseo,문형서,23/02/1998,Canada,The Boyz,M,,
Kevin,Park Jinwoo,박진우,12/01/2000,South Korea,OMEGA X,M,,
Kevin,Baek Seungbin,백승빈,08/04/2001,South Korea,T1419,M,,
Key,Kim Kibum,김기범,23/09/1991,South Korea,SHINee,M,,
Khael,Lee Sangmin,이상민,18/01/2002,South Korea,Mirae,M,,
Kiara,Baek Jinjoo,백진주,20/08/1998,South Korea,,F,,
Kibum,Kim Kibum,김기범,21/08/1987,South Korea,,M,,
Kichun,Hwang Kichun,황기천,14/03/1992,South Korea,WE:A,M,,
Kid,Kim Junhoe,김준회,26/10/1995,South Korea,VARSITY,M,,
Kidoh,Jin Hyosang,진효상,16/12/1992,South Korea,,M,,
Kihyun,Yoo Kihyun,유기현,22/11/1993,South Korea,MONSTA X,M,,
Kim Lip,Kim Jungeun,김정은,10/02/1999,South Korea,ARTMS,F,,
Kim Sanggyun,Kim Sanggyun,김상균,23/05/1995,South Korea,JBJ95,M,,
Kim Yoon,Kim Seongsu,김성수,17/02/1994,South Korea,DUSTIN,M,,
Kino,Kang Hyungku,강형구,27/01/1998,South Korea,PENTAGON,M,,
Kio,Udo Musashi,우도 무사시,28/11/2004,South Korea,T1419,M,,
Kiseop,Lee Kiseop,이기섭,17/01/1991,South Korea,U-KISS,M,,
Kisu,Choi Kisu,최기수,02/10/1990,South Korea,24K,M,,
Kiwon,Lee Kiwon,이기원,27/06/1996,South Korea,GIDONGDAE,M,,
Kokoro,Kato Kokoro,카토 코코로,01/11/2000,Japan,,F,,
Kongyeol,Go Minsoo,고민수,19/05/1996,South Korea,UP10TION,M,,
Kongyoo,Kong Yoojin,공유진,11/05/2001,South Korea,Bonus Baby,F,,
Kookheon,Kim Kookheon,김국헌,15/04/1997,South Korea,B.O.Y,M,,
Kotoko,Fujiyosi Kotoko,후지요시 코토코,28/10/2007,Japan,UNIS,F,,
Kotone,Kamimoto Kotone,카미모토 코토네,10/03/2004,Japan,tripleS,F,,
Kriesha Chu,Kriesha Ziskind Teo Tiu,크리샤 지스킨드 테오 티우,20/12/1998,Philippines,,F,,
Kris,Wu Yifan,오역범,06/11/1990,Canada,,Guangzhou,M,
Krystal,Krystal Jung,크리스탈 정,24/10/1994,South Korea,f(x),F,,
Kuhn,Noh Sooil,노수일,11/11/1995,South Korea,UP10TION,M,,
Kun,Qian Kun,첸쿤,01/01/1996,China,,NCT,M,
Kwanghee,Hwang Kwanghee,황광희,25/08/1988,South Korea,ZE:A,M,,
Kwangjin,Kwon Kwangjin,권광진,12/08/1992,South Korea,N.Flying,M,,
Kwangmin,Jo Kwangmin,조광민,24/04/1995,South Korea,Boyfriend,M,,
Kyeongheon,Yoon Kyeongheon,윤경헌,06/01/1998,South Korea,We In The Zone,M,,
Kyla,Kyla Massie,카일라 매시,26/12/2001,USA,Pristin,F,,
Kyle,Ma Jaekyung,마재경,15/01/1997,South Korea,Romeo,M,,
Kyrell,Kyrell Choi,카이렐 초이,03/07/2005,USA,AMPERS&ONE,M,,
Kyrin,Park Geumju,박금주,23/02/2000,South Korea,Girls' World,F,,
Kyuhwan,Lee Kyuhwan,이규환,18/09/1994,South Korea,SIGNAL,M,,
Kyuhyuk,Shim Kyuhyuk,심규혁,11/01/1995,South Korea,Hot Blood Youth,M,,
Kyuhyun,Cho Kyuhyun,조규현,03/02/1988,South Korea,Super Junior,M,,
Kyujin,Jang Kyujin,장규진,26/05/2006,South Korea,NMIXX,F,,
Kyulkyung,Zhou Jieqiong,저우제충,16/12/1998,China,Pristin V,F,,
Kyungho,Jang Kyungho,장경호,07/05/2001,South Korea,TOO,M,,
Kyungil,Song Kyungil,송경일,28/11/1987,South Korea,HISTORY,M,,
Kyungjun,Woo Kyungjun,우경준,30/08/2002,South Korea,TNX,M,,
Kyungmin,Jo Kyungmin,조경민,28/10/2004,South Korea,8TURN,M,,
Kyungmin,Lee Kyungmin,이경민,02/10/2007,South Korea,TWS,M,,
Kyungmun,Lim Kyungmun,임경문,29/06/2003,South Korea,YOUNITE,M,,
Kyungri,Park Kyungri,박경리,05/07/1990,South Korea,9Muses,F,,
Kyungyoon,Lee Kyungyoon,이경윤,21/02/2000,South Korea,Dongkiz,M,,
L,Kim Myungsoo,김명수,13/03/1992,South Korea,Infinite,M,,
L.Joe,Lee Byunghun,이병헌,23/11/1993,South Korea,,Infinite,F,
